,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
27,128,240.9503670192167,1.0,0.8279382353630502,254.2360911052594,10.0,0.4488386676151988,291.75495624795224,1.0,0.7656735855984957,301.6913897379586,10.0,0.2987852650334189,157.82331586285412,1.0,0.925670432396012,4.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,Policy 0,dikesnet
28,68,103.70304247666135,1.0,0.5535952757903404,315.9011915866094,1.5,0.11132679588151057,257.66597544220764,1.5,0.35800299866989954,283.10905408427254,1.0,0.3058296191856671,111.91707080644717,1.0,0.7788202078404157,4.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,Policy 0,dikesnet
29,0,193.25423600255044,10.0,0.9076116428538746,96.41605392046488,1.5,0.5729107242407174,171.90733253237119,1.0,0.7821282969448973,55.62161541256894,10.0,0.6701667269932831,319.8424214027441,1.5,0.6640450798586502,4.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,Policy 0,dikesnet
30,100,347.66079271451,1.0,0.5206131122941222,263.6703548948684,10.0,0.5963732484130142,261.362692215234,10.0,0.3513681823693102,119.49463546458502,1.0,0.6455232171014805,45.509435482278846,1.0,0.34438054679204516,1.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,Policy 0,dikesnet
31,87,119.28631423950799,1.0,0.3692705570711242,74.57092645948642,1.0,0.2220077897554063,273.43858740580174,10.0,0.8588706610433414,97.19979646301508,1.5,0.7989902264687391,320.6520293828566,10.0,0.37060597731951933,4.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,Policy 0,dikesnet
32,86,275.1628915513801,10.0,0.024508154430786792,293.01098438951504,1.0,0.6621760071880122,223.2459438990004,1.0,0.24920999845414424,196.8924343325966,1.0,0.32834652043914087,290.6213791823329,1.5,0.8482440050143465,4.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Policy 0,dikesnet
33,27,237.5253022041849,1.0,0.33902311692654785,334.11622832360314,10.0,0.681430632389444,240.69577680998583,1.5,0.2467177852866167,231.4075955604065,1.5,0.4213423489234419,235.02905919739234,1.0,0.25933461562434895,4.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,Policy 0,dikesnet
34,78,152.4190416810673,1.0,0.3532614322300614,73.49912909625331,10.0,0.04639667049209215,234.41583761534906,1.0,0.5944107445242005,75.44994491236311,1.5,0.045346992316085764,78.74633783974949,1.5,0.6016013681366791,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,Policy 0,dikesnet
35,38,110.60331215376472,10.0,0.45195491995119585,126.53948096661094,1.5,0.716444544495973,50.20637749279501,1.5,0.6008355125164418,279.2899952213821,1.5,0.7546461046826423,168.3707434245652,10.0,0.29986468392255966,2.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,Policy 0,dikesnet
36,96,271.84241454814253,1.5,0.01958144578709572,126.91751959612097,1.5,0.007826245794197217,344.4840957752208,1.0,0.4553370076579951,237.89765859990524,1.0,0.6734183739185569,46.55975325927009,1.0,0.9851921901117195,1.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,Policy 0,dikesnet
37,80,144.69278571571488,1.5,0.8307526448649168,306.3306168781454,1.5,0.1610596288956172,43.61201697781442,10.0,0.479865130009786,252.84863828023407,1.5,0.6092433362944911,209.3347742339579,1.5,0.2190922681996558,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,Policy 0,dikesnet
38,128,116.40062106050289,1.0,0.9634500794809008,85.13670919746093,1.5,0.9613862692736159,314.02274664150707,1.5,0.08128016471762406,274.11213333418493,1.0,0.7274742136340341,273.90803379034077,1.0,0.5468444762609105,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,Policy 0,dikesnet
39,2,299.73840887955737,1.5,0.6387475884230377,94.06012914060386,1.0,0.28783689956342534,268.4519493183891,1.5,0.43775695588875363,234.45946998643566,1.5,0.4504397090948381,132.38513104656215,1.5,0.5085499459439887,4.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,Policy 0,dikesnet
40,93,46.32433346555415,1.5,0.11638363451456372,72.67069125360518,10.0,0.1549180395647323,255.9686211489382,1.5,0.5967791045750697,259.21118841181146,10.0,0.009275270340796647,140.67745907784507,1.5,0.33280476682785304,4.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,Policy 0,dikesnet
41,66,203.62128948296973,1.0,0.9095493456241162,302.944144701887,1.0,0.36683438834761944,112.3947091771811,10.0,0.6595031726318978,96.2165042011328,1.0,0.8735519104704984,314.44704910880864,1.5,0.2968714750810483,3.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,Policy 0,dikesnet
42,13,205.25702054466666,1.5,0.5653325376553906,116.47009271018456,1.0,0.5534762883167744,181.2762671488814,1.0,0.6981609447827717,36.74718992739549,1.5,0.08337478896157821,251.45561779923997,10.0,0.9845785963910877,2.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,Policy 0,dikesnet
43,115,167.95402464826134,1.5,0.09507045695097363,43.066153926432435,1.0,0.28003794304747,295.7973951186735,1.0,0.8710999782689537,71.98578883418685,1.0,0.15220791150535065,253.4679235907168,1.0,0.30371962799637836,2.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,Policy 0,dikesnet
44,4,88.11857944700647,1.5,0.24666333476339888,148.56267245445406,1.5,0.656896543231117,162.34391123714713,10.0,0.6251166704399411,155.60856272477372,10.0,0.19287071020765276,257.66767238943,10.0,0.41690457851292106,1.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,Policy 0,dikesnet
45,123,120.94967721942191,1.5,0.8778179652614724,144.7495014060328,1.5,0.4383209337730981,173.80003868871628,10.0,0.16588041822928853,265.66728277493155,1.5,0.4448690565346579,67.14713949871557,1.0,0.028195746774706033,1.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Policy 0,dikesnet
46,19,183.75312568641027,10.0,0.0762784830681193,140.23880005852558,10.0,0.3350229418849686,291.79286676997447,10.0,0.7490667272552042,190.51788068425077,10.0,0.7772954979845241,176.99212542115984,1.5,0.9639524475965557,4.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,Policy 0,dikesnet
47,122,212.42046979921528,10.0,0.11699860479782084,347.27715343777515,1.0,0.11790187505894768,343.17781616956376,1.5,0.38377925778373007,87.0182097312074,1.0,0.7590390013682097,195.53041072277594,1.0,0.2520955254064629,4.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,Policy 0,dikesnet
48,14,305.90504272135234,1.0,0.17556763284976445,316.27575503789103,1.5,0.05480232765710591,94.39317156600026,1.0,0.9615625351723133,149.45695915126657,10.0,0.6575517064316856,224.52053841876273,10.0,0.7923677112312965,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,Policy 0,dikesnet
49,9,165.72300003852783,1.0,0.9005990910809821,258.51488803600733,1.0,0.29541711498479406,176.52433788224332,1.0,0.447709904651893,229.76910251484497,1.0,0.3337260515464874,107.285125949809,1.0,0.5432954616357425,2.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,Policy 0,dikesnet
50,121,111.4000187643707,1.0,0.9277312525985525,314.3009089892006,10.0,0.3133484083720605,49.38481116933072,1.5,0.29391773658321346,335.8576193680363,1.5,0.08281466690896092,155.1556590996423,1.5,0.5059476783830964,4.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Policy 0,dikesnet
51,2,348.9002115677045,10.0,0.647332434158088,133.02769924225856,10.0,0.15672129446689118,319.4649854836766,10.0,0.6955124357386625,325.9819104693053,1.0,0.633518544529018,133.72223553193618,1.5,0.038221226635552004,3.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,Policy 0,dikesnet
52,117,306.7666635190228,1.0,0.38159180497625117,33.93091810812665,10.0,0.3639448342489845,279.3789190626934,10.0,0.8812250435751758,235.27223193563992,10.0,0.011737897560326564,53.63531893495099,1.0,0.07239527118709879,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,Policy 0,dikesnet
53,55,336.0473532655283,1.5,0.546014073898384,294.10280202574205,10.0,0.06996881142902452,203.283854981882,10.0,0.29677015404485485,281.95482299431364,10.0,0.6533618970724767,175.3877155960037,10.0,0.6596805841966232,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,Policy 0,dikesnet
54,34,252.65615208583228,10.0,0.5944019715001703,104.17802961451049,1.0,0.8695100550298014,188.23200252297593,1.5,0.22163395650220308,211.65039060165182,1.5,0.8393999548331817,143.38356367595674,1.5,0.16701241392269534,1.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,Policy 0,dikesnet
55,5,178.51979431068082,10.0,0.31245583547527833,181.20928801332138,1.0,0.4401834196097726,266.55402073648366,1.0,0.9037922379536175,199.5570698866611,1.0,0.45866458703433693,253.72578053201983,1.0,0.10087702666959714,2.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,Policy 0,dikesnet
56,127,308.2054525846705,1.0,0.48674753135210064,290.0667592116864,1.5,0.8755365676922555,343.89205837624564,10.0,0.7448167169948237,47.250397445812084,1.5,0.5244633197713716,347.4627747294811,1.0,0.9085640499450871,3.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,Policy 0,dikesnet
57,90,71.56949401957242,10.0,0.11836698808052742,343.4124280558861,1.0,0.07420183396754962,94.0352995954664,1.0,0.3612497844130942,339.56217095743864,10.0,0.9357140520767844,278.5375851328554,1.0,0.9725595352142802,1.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,Policy 0,dikesnet
58,99,34.35160353034947,1.0,0.0033232817542450527,104.989223368762,1.5,0.6321584139592267,289.7886857639904,10.0,0.1973624271460211,255.27778761552293,10.0,0.23875623308687263,106.04737976978528,1.5,0.3773251270700007,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,Policy 0,dikesnet
59,6,186.85422349657108,10.0,0.7319509796700733,42.72511398282754,1.0,0.16063794325615618,170.1815465728727,10.0,0.5514734419021289,34.78697454111678,1.5,0.9150208818883633,132.9952636374433,1.0,0.5187077830289173,2.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,Policy 0,dikesnet
60,132,188.5814989432335,10.0,0.8971147397044734,183.80149634166813,1.5,0.07644361660148896,106.42252252878603,1.0,0.17949997208141752,323.0588885340642,1.5,0.2075079706445208,171.6103491497252,1.5,0.29571167017638555,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,Policy 0,dikesnet
61,11,117.1590562032162,10.0,0.5344533875272034,201.3506661080089,10.0,0.5883137966666193,62.20574265366599,1.0,0.3071328471439888,302.7989110725242,1.5,0.8792834253093972,155.8531580957472,1.5,0.23672653263018104,3.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,Policy 0,dikesnet
62,28,56.27744972536574,1.5,0.9687615625509974,40.25590943778413,1.0,0.3308989559919514,250.33307682509667,1.0,0.5422914531431838,31.923703090216538,1.5,0.9556189032761438,284.77439447155393,1.0,0.9036320562561755,4.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,Policy 0,dikesnet
63,19,298.1079044865026,1.0,0.9816212580476447,205.9141977658757,10.0,0.8271339489112167,299.0814972229851,1.0,0.17451082540293805,130.88579952478162,1.0,0.41111499878581587,84.51608540146592,1.5,0.08751272208602705,4.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,Policy 0,dikesnet
64,109,87.7170217624936,1.0,0.8034488375764655,255.49089512584257,10.0,0.7312160530967083,324.5334346696097,1.5,0.6688167853835645,212.16691688115017,1.5,0.7299553031314229,229.55275504242948,1.0,0.9443068926372219,3.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,Policy 0,dikesnet
65,59,200.14704449375998,1.5,0.9131936175039373,196.7159849654868,1.0,0.9345656331941601,145.8933512590204,1.0,0.893135538366344,315.3184704046686,10.0,0.9131597157027713,95.99716111387639,10.0,0.13030659952909418,3.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,Policy 0,dikesnet
